deathIncrease,positiveIncrease,totalTestResultsIncrease,population,testingIncreaseRate,positiveIncreaseRate,percent_positiveIncreaseRate,deathIncreaseRate
0,0,0,7614893,0.0,0.0,0.0,0.0
0,0,0,7614893,0.0,0.0,0.0,0.0
0,0,0,7614893,0.0,0.0,0.0,0.0
0,0,0,7614893,0.0,0.0,0.0,0.0
0,0,0,7614893,0.0,0.0,0.0,0.0
0,0,0,7614893,0.0,0.0,0.0,0.0
0,1,0,7614893,0.0,0.013132160885254724,inf,0.0
0,0,0,7614893,0.0,0.0,0.0,0.0
0,1,0,7614893,0.0,0.013132160885254724,inf,0.0
0,0,0,14507396,0.0,0.0,0.0,0.0
0,0,1,14507396,0.006893035800497898,0.0,0.0,0.0
0,0,0,14507396,0.0,0.0,0.0,0.0
0,0,0,14507396,0.0,0.0,0.0,0.0
0,0,0,14507396,0.0,0.0,0.0,0.0
0,0,1,23042915,0.004339728719218033,0.0,0.0,0.0
0,0,0,23042915,0.0,0.0,0.0,0.0
0,0,1,23042915,0.004339728719218033,0.0,0.0,0.0
0,0,0,23042915,0.0,0.0,0.0,0.0
0,0,0,23042915,0.0,0.0,0.0,0.0
0,0,0,23042915,0.0,0.0,0.0,0.0
0,0,0,23042915,0.0,0.0,0.0,0.0
0,1,3,23042915,0.0130191861576541,0.004339728719218033,0.3333333333333333,0.0
0,0,2,23042915,0.008679457438436067,0.0,0.0,0.0
0,0,0,23042915,0.0,0.0,0.0,0.0
0,2,1,23042915,0.004339728719218033,0.008679457438436067,2.0,0.0
0,0,0,23042915,0.0,0.0,0.0,0.0
0,0,1,23042915,0.004339728719218033,0.0,0.0,0.0
0,0,0,23042915,0.0,0.0,0.0,0.0
0,0,1,31925105,0.0031323311231082874,0.0,0.0,0.0
0,0,0,31925105,0.0,0.0,0.0,0.0
0,0,1,31925105,0.0031323311231082874,0.0,0.0,0.0
0,1,0,31925105,0.0,0.0031323311231082874,inf,0.0
0,1,0,31925105,0.0,0.0031323311231082874,inf,0.0
0,0,0,33859513,0.0,0.0,0.0,0.0
0,0,2,33859513,0.005906759497692716,0.0,0.0,0.0
0,0,0,33859513,0.0,0.0,0.0,0.0
0,0,0,33859513,0.0,0.0,0.0,0.0
0,0,6,33859513,0.01772027849307815,0.0,0.0,0.0
0,0,1,33859513,0.002953379748846358,0.0,0.0,0.0
0,0,1,33859513,0.002953379748846358,0.0,0.0,0.0
0,0,0,33859513,0.0,0.0,0.0,0.0
0,1,0,33859513,0.0,0.002953379748846358,inf,0.0
0,1,2,33859513,0.005906759497692716,0.002953379748846358,0.5,0.0
0,1,0,33859513,0.0,0.002953379748846358,inf,0.0
2,2,0,33859513,0.0,0.005906759497692716,inf,0.005906759497692716
0,1,6445,33859513,19.034532481314777,0.002953379748846358,0.0001551590380139643,0.0
2,2,2,33859513,0.005906759497692716,0.005906759497692716,1.0,0.005906759497692716
1,3,60,37424800,0.16032149804407772,0.008016074902203886,0.05,0.0026720249674012956
3,8,93,48471018,0.19186723084710125,0.01650470802985817,0.08602150537634409,0.006189265511196815
3,30,203,67924579,0.29886088804466493,0.04416663370118201,0.1477832512315271,0.004416663370118201
3,40,260,87172991,0.29825751877665874,0.045885772119485954,0.15384615384615385,0.003441432908961447
2,59,305,170005231,0.1794062442702131,0.03470481446538548,0.19344262295081968,0.001176434388657135
4,59,519,181933645,0.2852688407358628,0.032429405786928524,0.11368015414258188,0.002198603782164646
6,123,782,188547041,0.41475060857624385,0.06523570953309206,0.15728900255754474,0.003182229733321564
1,132,752,189891253,0.39601613456097423,0.0695134704282561,0.17553191489361702,0.0005266172002140614
4,161,1048,189891253,0.5518948258243365,0.08478536923446389,0.15362595419847327,0.0021064688008562457
4,253,1896,189891253,0.9984662116058605,0.13323415165415756,0.13343881856540085,0.0021064688008562457
2,355,3064,189891253,1.6135551014558844,0.18694910607599183,0.11586161879895561,0.0010532344004281228
4,389,3900,189891253,2.0538070808348396,0.20485409088326992,0.09974358974358974,0.0021064688008562457
9,624,5882,189891253,3.0975623716591096,0.32860913293357435,0.10608636518191092,0.004739554801926553
