deathIncrease,positiveIncrease,totalTestResultsIncrease,population,testingIncreaseRate,positiveIncreaseRate,deathIncreaseRate
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,3,21477737,0.013967952023995823,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,2,21477737,0.009311968015997216,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,1,21477737,0.004655984007998608,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,1,21477737,0.004655984007998608,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,1,21477737,0.004655984007998608,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,3,21477737,0.013967952023995823,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,1,21477737,0.004655984007998608,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,1,21477737,0.004655984007998608,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,1,21477737,0.004655984007998608,0.0,0.0
0,0,0,21477737,0.0,0.0,0.0
0,0,0,28209956,0.0,0.0,0.0
0,0,1,28209956,0.0035448477835272056,0.0,0.0
0,0,2,28209956,0.007089695567054411,0.0,0.0
0,0,2,28788715,0.006947166624144217,0.0,0.0
0,0,0,28788715,0.0,0.0,0.0
0,2,6,57784596,0.010383390064715517,0.0034611300215718387,0.0
0,1,24,73421394,0.03268802006129167,0.0013620008358871528,0.0
0,4,958,91939668,1.0419876652154105,0.004350679186703175,0.0
0,8,1318,108017221,1.2201758088184846,0.007406226457168343,0.0
0,3,101,138348270,0.07300416550203338,0.002168440559466338,0.0
0,9,82,138348270,0.05927070862541323,0.006505321678399015,0.0
0,23,159,138348270,0.11492734965171593,0.016624710955908593,0.0
0,30,258,138348270,0.18648588811410508,0.02168440559466338,0.0
