date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,population,Region,Political_Affiliation,percentPositiveIncrease,testingIncreaseRate,positiveIncreaseRate,deathIncreaseRate,testingRate,positiveRate,deathRate,percent_positiveIncreaseRate,percent_positiveRate
2021-03-07,CA,54124.0,,258,,,,4291.0,0,,1159.0,,0,,,,,,3501394.0,3501394.0,3816,0,,,,,,,,0,49646014.0,133186,,,,,,0,49646014.0,133186,39512223,West,Democratic,0.028651660084393255,337.07544118689555,9.65777096368382,0.652962502261642,125647.23073161437,8861.546463736046,136.98039717988027,2865.1660084393257,0.07052719277724895
2021-03-06,CA,53866.0,,418,,,,4513.0,0,,1221.0,,0,,,,,,3497578.0,3497578.0,4452,0,,,,,,,,0,49512828.0,218325,,,,,,0,49512828.0,218325,39512223,West,Democratic,0.020391618000687048,552.5505360708255,11.267399457631123,1.0579004881603347,125310.15529042746,8851.888692772362,136.3274346776186,2039.1618000687047,0.0706398349938727
2021-03-05,CA,53448.0,,400,,,,4714.0,0,,1236.0,,0,,,,,,3493126.0,3493126.0,4659,0,,,,,,,,0,49294503.0,146818,,,,,,0,49294503.0,146818,39512223,West,Democratic,0.0317331662330232,371.5761575854641,11.791287976887556,1.0123449647467317,124757.60475435664,8840.621293314729,135.26953418945828,3173.31662330232,0.0708623839863037
2021-03-04,CA,53048.0,,273,,,,4967.0,0,,1327.0,,0,,,,,,3488467.0,3488467.0,3504,0,,,,,,,,0,49147685.0,119637,,,,,,0,49147685.0,119637,39512223,West,Democratic,0.029288598008977155,302.78478636851185,8.86814189118137,0.6909254384396444,124386.0285967712,8828.83000533784,134.25718922471154,2928.8598008977156,0.07097927399835821
2021-03-03,CA,52775.0,,278,,,,5110.0,0,,1403.0,,0,,,,,,3484963.0,3484963.0,3352,0,,,,,,,,0,49028048.0,130858,,,,,,0,49028048.0,130858,39512223,West,Democratic,0.025615552736554126,331.1835934920696,8.483450804577611,0.7035797504989785,124083.24381040268,8819.96186344666,133.56626378627192,2561.5552736554127,0.07108100652916062
2021-03-02,CA,52497.0,,303,,,,5302.0,0,,1452.0,,0,,,,,,3481611.0,3481611.0,2533,0,,,,,,,,0,48897190.0,184514,,,,,,0,48897190.0,184514,39512223,West,Democratic,0.013727955602284922,466.97954706319615,6.410674489258678,0.7668513107956492,123752.06021691061,8811.478412642084,132.86268403577293,1372.7955602284921,0.0712026805630344
2021-03-01,CA,52194.0,,215,,,,5409.0,0,,1518.0,,0,,,,,,3479078.0,3479078.0,3516,0,,,,,,,,0,48712676.0,243570,,,,,,0,48712676.0,243570,39512223,West,Democratic,0.014435275280206923,616.4421576584035,8.89851224012377,0.5441354185513683,123285.0806698474,8805.067738152824,132.09583272497727,1443.5275280206922,0.07142038347472432
2021-02-28,CA,51979.0,,158,,,,5674.0,0,,1585.0,,0,,,,,,3475562.0,3475562.0,4685,0,,,,,,,,0,48469106.0,249616,,,,,,0,48469106.0,249616,39512223,West,Democratic,0.018768828921223,631.7437518005504,11.857090399596094,0.399876261074959,122668.638512189,8796.169225912701,131.5516973064259,1876.8828921222998,0.07170674862457747
2021-02-27,CA,51821.0,,439,,,,5897.0,0,,1651.0,,0,,,,,,3470877.0,3470877.0,5151,0,,,,,,,,0,48219490.0,223914,,,,,,0,48219490.0,223914,39512223,West,Democratic,0.02300436774833195,566.6955260907492,13.036472283526036,1.111048598809538,122036.89476038846,8784.312135513104,131.15182104535094,2300.436774833195,0.07198079034017157
2021-02-26,CA,51382.0,,391,,,,6152.0,0,,1725.0,,0,,,,,,3465726.0,3465726.0,5400,0,,,,,,,,0,47995576.0,181416,,,,,,0,47995576.0,181416,39512223,West,Democratic,0.029765842042598228,459.13893531123273,13.666657024080878,0.9895672030399302,121470.19923429769,8771.275663229579,130.04077244654144,2976.584204259823,0.0722092802886666
