date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,population,Region,Political_Affiliation,percentPositiveIncrease,testingIncreaseRate,positiveIncreaseRate,deathIncreaseRate,testingRate,positiveRate,deathRate,percent_positiveIncreaseRate,percent_positiveRate
2021-03-07,FL,32266.0,,66,,82237.0,82237.0,3307.0,92,,,9339038.0,19166,864153.0,816231.0,16887410.0,,,1909209.0,1548837.0,4024,0,190026.0,,178979.0,,2502506.0,,22339182.0,64599,22339182.0,64599,1054711.0,,995580.0,,11248247.0,23190,19482607.0,52132,21477737,South,Republican,0.06229198594405486,300.7719109327021,18.735679648186398,0.3072949445279081,104010.87414377037,8889.246571927015,150.2299800020831,6229.198594405486,0.08546458863175921
2021-03-06,FL,32200.0,,107,,82145.0,82145.0,3352.0,243,,,9319872.0,23282,864153.0,816231.0,16841086.0,,,1905185.0,1545643.0,4587,0,190026.0,,178979.0,,2496909.0,,22274583.0,87820,22274583.0,87820,1054711.0,,995580.0,,11225057.0,27869,19430475.0,59303,21477737,South,Republican,0.05223183785014803,408.8885155824377,21.356998644689615,0.49819028885585104,103710.10223283766,8870.510892278828,149.92268505755519,5223.183785014803,0.0855317919980814
2021-03-05,FL,32093.0,,138,,81902.0,81902.0,3419.0,302,,,9296590.0,26910,864153.0,816231.0,16788533.0,,,1900598.0,1542400.0,5876,0,190026.0,,178979.0,,2490463.0,,22186763.0,106925,22186763.0,106925,1054711.0,,995580.0,,11197188.0,32786,19371172.0,77877,21477737,South,Republican,0.05495440729483283,497.8410900552512,27.35856203099982,0.642525793103808,103301.21371725522,8849.153893634139,149.42449476869933,5495.440729483283,0.08566360040894654
2021-03-04,FL,31955.0,,126,,81600.0,81600.0,3566.0,322,,,9269680.0,26450,847365.0,803582.0,16719252.0,,,1894722.0,1538139.0,5997,0,176911.0,,166506.0,,2482227.0,,22079838.0,104245,22079838.0,104245,1024780.0,,970437.0,,11164402.0,32447,19293295.0,74448,21477737,South,Republican,0.05752793898987961,485.36305291381495,27.921936095967652,0.5866539850078246,102803.37262719996,8821.795331603138,148.78196897559553,5752.793898987961,0.08581231438382836
2021-03-03,FL,31829.0,,133,,81278.0,81278.0,3596.0,306,,,9243230.0,17249,847365.0,803582.0,16653274.0,,,1888725.0,1534186.0,5860,0,176911.0,,166506.0,,2474106.0,,21975593.0,73990,21975593.0,73990,1024780.0,,970437.0,,11131955.0,23109,19218847.0,51529,21477737,South,Republican,0.07919989187728071,344.49625675181704,27.28406628687184,0.6192458730638148,102318.00957428616,8793.873395507171,148.1953149905877,7919.989187728072,0.08594648617673252
2021-03-02,FL,31696.0,,140,,80972.0,80972.0,3674.0,313,,,9225981.0,33192,847365.0,803582.0,16607639.0,,,1882865.0,1529740.0,7047,0,176911.0,,166506.0,,2468530.0,,21901603.0,116917,21901603.0,116917,1024780.0,,970437.0,,11108846.0,40239,19167318.0,89285,21477737,South,Republican,0.0602735273741201,544.3636822631732,32.81071930436619,0.6518377611198051,101973.51331753435,8766.5893292203,147.57606911752387,6027.35273741201,0.08596927813913895
2021-03-01,FL,31556.0,,150,,80659.0,80659.0,3686.0,87,,,9192789.0,7255,847365.0,803582.0,16528453.0,,,1875818.0,1524995.0,1664,0,176911.0,,166506.0,,2458948.0,,21784686.0,22888,21784686.0,22888,1024780.0,,970437.0,,11068607.0,8919,19078033.0,22915,21477737,South,Republican,0.07270185249912618,106.56616197507213,7.747557389309684,0.6983976011997912,101429.14963527117,8733.778609915933,146.92423135640408,7270.185249912618,0.08610718557063435
2021-02-28,FL,31406.0,,126,,80572.0,80572.0,3679.0,105,,,9185534.0,22572,847365.0,803582.0,16508139.0,,,1874154.0,1523359.0,5385,0,176911.0,,166506.0,,2456389.0,,21761798.0,77453,21761798.0,77453,1024780.0,,970437.0,,11059688.0,27957,19055118.0,64408,21477737,South,Republican,0.06952603514389372,360.6199293715162,25.072473883072504,0.5866539850078246,101322.58347329611,8726.031052526623,146.2258337552043,6952.603514389371,0.08612128464752775
2021-02-27,FL,31280.0,,118,,80467.0,80467.0,3728.0,229,,,9162962.0,25314,847365.0,803582.0,16451917.0,,,1868769.0,1519444.0,5316,0,176911.0,,166506.0,,2448448.0,,21684345.0,90722,21684345.0,90722,1024780.0,,970437.0,,11031731.0,30630,18990710.0,68213,21477737,South,Republican,0.05859659178589537,422.40018117364974,24.751210986520597,0.5494061129438358,100961.96354392458,8700.958578643551,145.63917977019645,5859.659178589537,0.08618056021521517
2021-02-26,FL,31162.0,,144,,80238.0,80238.0,3864.0,282,,,9137648.0,26855,847365.0,803582.0,16391386.0,,,1863453.0,1515826.0,5783,0,176911.0,,166506.0,,2441154.0,,21593623.0,105518,21593623.0,105518,1024780.0,,970437.0,,11001101.0,32638,18922497.0,75982,21477737,South,Republican,0.05480581512159063,491.2901205559971,26.92555551825595,0.6704616971517995,100539.56336275092,8676.207367657029,145.08977365725264,5480.581512159063,0.08629644965089925
