date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,percentPositiveIncrease,positiveIncreaseRate,hospitalizedIncreaseRate,deathIncreaseRate
2021-03-07,NY,39029.0,,59,,89995.0,89995.0,4789.0,0,,999.0,,0,,,,,682.0,1681169.0,,6789,0,,,,,,,39695100.0,227768,39695100.0,227768,,,,,,0,,0,0.0298066453584349,34.904884318766065,0.0,0.3033419023136247
2021-03-06,NY,38970.0,,79,,89995.0,89995.0,4954.0,0,,1012.0,,0,,,,,694.0,1674380.0,,7647,0,,,,,,,39467332.0,273132,39467332.0,273132,,,,,,0,,0,0.02799745178155617,39.31619537275064,0.0,0.40616966580976865
2021-03-05,NY,38891.0,,95,,89995.0,89995.0,5034.0,0,,1030.0,,0,,,,,700.0,1666733.0,,8956,0,,,,,,,39194200.0,296935,39194200.0,296935,,,,,,0,,0,0.030161483152878577,46.04627249357327,0.0,0.4884318766066838
2021-03-04,NY,38796.0,,61,,89995.0,89995.0,5177.0,0,,1043.0,,0,,,,,712.0,1657777.0,,7593,0,,,,,,,38897265.0,270089,38897265.0,270089,,,,,,0,,0,0.028112955359159388,39.03856041131105,0.0,0.31362467866323906
2021-03-03,NY,38735.0,,75,,89995.0,89995.0,5323.0,0,,1047.0,,0,,,,,735.0,1650184.0,,7704,0,,,,,,,38627176.0,218069,38627176.0,218069,,,,,,0,,0,0.0353282676584017,39.609254498714655,0.0,0.3856041131105398
2021-03-02,NY,38660.0,,83,,89995.0,89995.0,5369.0,0,,1076.0,,0,,,,,747.0,1642480.0,,5800,0,,,,,,,38409107.0,128034,38409107.0,128034,,,,,,0,,0,0.045300467063436274,29.82005141388175,0.0,0.4267352185089974
2021-03-01,NY,38577.0,,80,,89995.0,89995.0,5307.0,0,,1065.0,,0,,,,,741.0,1636680.0,,6235,0,,,,,,,38281073.0,174158,38281073.0,174158,,,,,,0,,0,0.03580082453863733,32.05655526992288,0.0,0.4113110539845758
2021-02-28,NY,38497.0,,90,,89995.0,89995.0,5259.0,0,,1083.0,,0,,,,,728.0,1630445.0,,7580,0,,,,,,,38106915.0,273720,38106915.0,273720,,,,,,0,,0,0.027692532514978812,38.971722365038566,0.0,0.46272493573264784
2021-02-27,NY,38407.0,,86,,89995.0,89995.0,5445.0,0,,1121.0,,0,,,,,753.0,1622865.0,,8141,0,,,,,,,37833195.0,285307,37833195.0,285307,,,,,,0,,0,0.02853417546712839,41.85604113110539,0.0,0.442159383033419
2021-02-26,NY,38321.0,,94,,89995.0,89995.0,5626.0,0,,1132.0,,0,,,,,771.0,1614724.0,,8204,0,,,,,,,37547888.0,291189,37547888.0,291189,,,,,,0,,0,0.02817414119352036,42.17994858611825,0.0,0.4832904884318766
