date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease,percentPositiveIncrease,testingIncreaseRate,positiveIncreaseRate,deathIncreaseRate,testingRate,positiveRate,deathRate,percent_positiveIncreaseRate,percent_positiveRate
2021-03-07,515148.0,839,45475.0,8137.0,726,40212.0,878613.0,74582825.0,131835,4281.0,2801.0,28756184.0,41530,56,363824818,1169754,0.03550319126927542,356.41499085923215,12.65386959171237,0.25563680682510664,110854.60633759902,8761.78671541743,156.9616087751371,3550.3191269275417,0.07903854431392858
2021-03-06,514309.0,1680,45453.0,8409.0,503,41401.0,877887.0,74450990.0,143835,4280.0,2811.0,28714654.0,60015,56,362655064,1430992,0.04193943781656361,436.01218769043265,18.286106032906766,0.5118829981718465,110498.1913467398,8749.132845825716,156.70597196831199,4193.943781656361,0.07917896880656822
2021-03-05,512629.0,2221,45373.0,8634.0,2781,42541.0,877384.0,74307155.0,271917,4275.0,2889.0,28654639.0,68787,56,361224072,1744417,0.03943265859023387,531.5103595368678,20.958866544789764,0.6767215112736137,110062.17915904937,8730.846739792809,156.19408897014017,3943.2658590233873,0.07932649350124152
2021-03-04,510408.0,1743,45293.0,8970.0,1530,44172.0,874603.0,74035238.0,177957,4267.0,2973.0,28585852.0,65487,56,359479655,1590984,0.04116131903274954,484.7605118829982,19.953382084095065,0.5310786106032906,109530.6687995125,8709.887873248019,155.51736745886654,4116.131903274954,0.07952008299329207
2021-03-03,508665.0,2449,45214.0,9359.0,2172,45462.0,873073.0,73857281.0,267001,4260.0,3094.0,28520365.0,66836,56,357888671,1406795,0.04750940968655703,428.639549055454,20.364411943936624,0.7461913467397928,109045.9082876295,8689.934491163924,154.98628884826326,4750.940968655703,0.07969060579735422
2021-03-02,506216.0,1728,45084.0,9465.0,1871,46388.0,870901.0,73590280.0,255779,4257.0,3169.0,28453529.0,54248,56,356481876,1343519,0.04037754583299529,409.3598415600244,16.528945764777575,0.526508226691042,108617.26873857404,8669.570079219988,154.24009750152345,4037.7545832995293,0.07981760340601439
2021-03-01,504488.0,1241,44956.0,9595.0,1024,46738.0,869030.0,73334501.0,118077,4252.0,3171.0,28399281.0,48092,56,355138357,1154440,0.04165829319843387,351.74893357708714,14.653260207190739,0.3781230956733699,108207.90889701401,8653.04113345521,153.71358927483243,4165.829319843388,0.07996680854160734
2021-02-28,503247.0,1051,44907.0,9802.0,879,47352.0,868006.0,73216424.0,203599,4252.0,3245.0,28351189.0,54349,56,353983917,1408422,0.038588576435187746,429.13528336380256,16.559719683120047,0.32023156611822057,107856.15996343693,8638.38787324802,153.33546617915906,3858.8576435187747,0.08009174326414384
2021-02-27,502196.0,1847,44875.0,10114.0,1428,48871.0,867127.0,73012825.0,205090,4252.0,3335.0,28296840.0,71245,56,352575495,1655179,0.043043682888678506,504.3202315661182,21.707800121876904,0.5627666057282146,107427.02468007313,8621.828153564898,153.01523461304083,4304.36828886785,0.08025753463098732
2021-02-26,500349.0,2141,44791.0,10466.0,1933,51112.0,865699.0,72807735.0,276829,4247.0,3466.0,28225595.0,74857,56,350920316,1803309,0.04151091133022682,549.4542961608776,22.808348567946375,0.6523461304082876,106922.704448507,8600.120353443022,152.4524680073126,4151.091133022683,0.08043306047860735
