state,population,Region,Political_Affiliation
AL,4903185,South,Republican
AK,731545,West,Republican
AZ,7278717,South,Democratic
AR,3017804,West,Republican
CA,39512223,West,Democratic
CO,5758736,West,Democratic
CT,3565287,Northeast,Democratic
DE,973764,South,Democratic
DC,705749,South,Democratic
FL,21477737,South,Republican
GA,10617423,South,Democratic
HI,1415872,West,Democratic
ID,1787065,Midwest,Republican
IL,12671821,West,Democratic
IN,6732219,Midwest,Republican
IA,3155070,Midwest,Republican
KS,2913314,Midwest,Republican
KY,4467673,South,Republican
LA,4648794,South,Republican
ME,1344212,Northeast,Democratic
MD,6045680,South,Democratic
MA,6892503,Northeast,Democratic
MI,9986857,Midwest,Democratic
MN,5639632,Midwest,Democratic
MS,2976149,Midwest,Republican
MO,6137428,South,Republican
MT,1068778,West,Republican
NE,1934408,South,Democratic
NV,3080156,Midwest,Democratic
NH,1359711,Midwest,Democratic
NJ,8882190,Northeast,Democratic
NM,2096829,Northeast,Democratic
NY,19453561,West,Democratic
NC,10488084,West,Republican
ND,762062,Northeast,Republican
OH,11689100,Midwest,Republican
OK,3956971,South,Republican
OR,4217737,West,Democratic
PA,12801989,Northeast,Democratic
RI,1059361,Northeast,Democratic
SC,5148714,South,Republican
SD,884659,Midwest,Republican
TN,6829174,South,Republican
TX,28995881,South,Republican
UT,3205958,West,Republican
VT,623989,South,Democratic
VA,8535519,Northeast,Democratic
WA,7614893,West,Democratic
WV,1792147,Midwest,Republican
WI,5822434,South,Democratic
WY,578759,West,Republican
